MicroSyst DL Network 3.02 TXT File
Файл:  C:\Program Files (x86)\MicroSyst DL Network 3.02 v3.02\DEVICES\DEV00001\2022.03.01_14.33.41.dnm

Устройство:   KOC-Plovdiv         
Канали:        3 
Записи:        1424 

Дата:         01 март 2022 г.


                  	температура1 	температура2 	влажност     
'03.03.22 00:23:41	5.5          	0.0          	0.0
'03.03.22 00:33:41	6.1          	0.0          	0.0
'03.03.22 00:43:41	5.9          	0.0          	0.0
'03.03.22 00:53:41	5.5          	0.0          	0.0
'03.03.22 01:03:41	6.3          	0.0          	0.0
'03.03.22 01:13:41	5.6          	0.0          	0.0
'03.03.22 01:23:41	5.8          	0.0          	0.0
'03.03.22 01:33:41	6.1          	0.0          	0.0
'03.03.22 01:43:41	5.5          	0.0          	0.0
'03.03.22 01:53:41	6.5          	0.0          	0.0
'03.03.22 02:03:41	5.7          	0.0          	0.0
'03.03.22 02:13:41	5.8          	0.0          	0.0
'03.03.22 02:23:41	6.1          	0.0          	0.0
'03.03.22 02:33:41	5.4          	0.0          	0.0
'03.03.22 02:43:41	6.5          	0.0          	0.0
'03.03.22 02:53:41	5.7          	0.0          	0.0
'03.03.22 03:03:41	5.7          	0.0          	0.0
'03.03.22 03:13:41	6.2          	0.0          	0.0
'03.03.22 03:23:41	5.5          	0.0          	0.0
'03.03.22 03:33:41	6.5          	0.0          	0.0
'03.03.22 03:43:41	5.7          	0.0          	0.0
'03.03.22 03:53:41	5.7          	0.0          	0.0
'03.03.22 04:03:41	6.2          	0.0          	0.0
'03.03.22 04:13:41	5.3          	0.0          	0.0
'03.03.22 04:23:41	6.3          	0.0          	0.0
'03.03.22 04:33:41	5.8          	0.0          	0.0
'03.03.22 04:43:41	5.6          	0.0          	0.0
'03.03.22 04:53:41	6.2          	0.0          	0.0
'03.03.22 05:03:41	5.4          	0.0          	0.0
'03.03.22 05:13:41	6.3          	0.0          	0.0
'03.03.22 05:23:41	5.7          	0.0          	0.0
'03.03.22 05:33:41	5.7          	0.0          	0.0
'03.03.22 05:43:41	6.4          	0.0          	0.0
'03.03.22 05:53:41	5.4          	0.0          	0.0
'03.03.22 06:03:41	6.3          	0.0          	0.0
'03.03.22 06:13:41	5.8          	0.0          	0.0
'03.03.22 06:23:41	5.4          	0.0          	0.0
'03.03.22 06:33:41	6.5          	0.0          	0.0
'03.03.22 06:43:41	5.4          	0.0          	0.0
'03.03.22 06:53:41	6.2          	0.0          	0.0
